Дата,№,Адрес,"Площадь, м^2",Год постройки,Количество этажей,Количество квартир на этаж,Координаты,Количество квартир,Количество абонентов,"Средний доход, руб",ОТУС-Л,МТС,Ростелеком,Есть конкуренты,"Средняя площадь квартиры, м^2",Новый фонд,Многоэтажка,Возраст дома,Новый без конкурентов,Премиум,Год постройки неизвестен,Широта,Долгота,Гео кластер,Расстояние до центра кластера
18.07.2023,1,"1-й Парковый проезд, 1",115.5,1957,1,4,"[57.63542,39.867259]",4,9.0,331.56,0,0,1,1,28.875,0,0,67,0,0,0,57.63542,39.867259,2,0.004112773944104306
18.07.2023,2,"1-й Парковый проезд, 2",117.0,1957,1,4,"[57.63676,39.8699]",4,9.0,334.15,0,0,1,1,29.25,0,0,67,0,0,0,57.63676,39.8699,2,0.0011557969178442003
18.07.2023,3,"1-й Парковый проезд, 3",116.8,1958,1,4,"[57.636596,39.868813]",4,9.0,332.68,0,0,1,1,29.2,0,0,66,0,0,0,57.636596,39.868813,2,0.002242033343929243
18.07.2023,4,"1-й Парковый проезд, 5",115.0,1958,1,4,"[57.637439,39.872946]",4,9.0,332.88,0,0,0,0,28.75,0,0,66,0,0,0,57.637439,39.872946,2,0.0019843667434346953
18.07.2023,5,"1-й Парковый проезд, 6",117.0,1958,1,4,"[57.635252,39.86822]",4,9.0,331.76,0,0,0,0,29.25,0,0,66,0,0,0,57.635252,39.86822,2,0.0033622391690020154
18.07.2023,6,"1-й Парковый проезд, 8",116.2,1959,1,4,"[57.637646,39.875371]",4,9.0,328.73,0,0,0,0,29.05,0,0,65,0,0,0,57.637646,39.875371,2,0.004416851441715138
18.07.2023,7,"1-й Парковый проезд, 9",718.0,1958,1,4,"[57.639376,39.874536]",4,8.0,321.9,0,0,1,1,179.5,0,0,66,0,0,0,57.639376,39.874536,2,0.004183579492784805
18.07.2023,8,"1-й Парковый проезд, 11",110.4,1958,1,4,"[57.639082,39.87662]",4,8.0,325.57,0,0,1,1,27.6,0,0,66,0,0,0,57.639082,39.87662,2,0.005954790815655642
18.07.2023,9,"1-й поселок Сокол проезд, 4",122.9,1957,1,4,"[57.638846,39.875488]",4,8.0,326.43,0,0,1,1,30.725,0,0,67,0,0,0,57.638846,39.875488,2,0.004808905720596209
18.07.2023,10,"1-й поселок Сокол проезд, 12",92.3,1957,1,4,"[57.637882,39.871589]",4,9.0,334.01,0,0,1,1,23.075,0,0,67,0,0,0,57.637882,39.871589,2,0.0009350872080905959
18.07.2023,11,"1-й поселок Сокол проезд, 1/6",128.4,1958,1,4,"[57.682645,39.787354]",4,8.0,321.12,0,0,1,1,32.1,0,0,66,0,0,0,57.682645,39.787354,0,0.017129845504467864
18.07.2023,12,"1-й поселок Сокол проезд, 8/2",117.7,1958,1,4,"[57.63874,39.872973]",4,8.0,331.6,0,0,0,0,29.425,0,0,66,0,0,0,57.63874,39.872973,2,0.002535728314852645
18.07.2023,14,"1-й Суздальский пер., 5",139.6,1930,1,4,"[57.635054,39.863909]",4,8.0,329.37,0,0,0,0,34.9,0,0,94,0,0,0,57.635054,39.863909,4,0.005839815746354141
18.07.2023,26,"1-я Закоторосльная наб., 4б",196.4,1946,1,4,"[57.696798,39.779135]",4,8.0,325.3,0,0,0,0,49.1,0,0,78,0,0,0,57.696798,39.779135,0,0.003539742340938759
18.07.2023,57,"ул. 1-я Парковая, 5",112.3,1957,1,4,"[57.694378,39.77485]",4,8.0,326.62,0,0,1,1,28.075,0,0,67,0,0,0,57.694378,39.77485,0,0.0014439693580380027
18.07.2023,99,"ул. 1-я Шоссейная, 24б",219.8,1957,1,4,"[57.646288,39.956273]",4,10.0,384.86,0,0,1,1,54.95,0,0,67,0,0,0,57.646288,39.956273,1,0.005377759414064073
18.07.2023,13,"1-й Суворовский пер., 4",309.7,1962,2,4,"[57.636683,39.865741]",8,9.0,327.21,0,0,1,1,38.7125,0,0,62,0,0,0,57.636683,39.865741,2,0.005261418122346359
18.07.2023,18,"ул. 1-я Жилая, 11",491.6,,2,4,"[57.631845,39.86257]",8,9.0,333.81,0,0,1,1,61.45,,0,,,0,1,57.631845,39.86257,4,0.0027652215917308323
18.07.2023,27,"1-я Закоторосльная наб., 38а",500.1,1953,2,4,"[57.695865,39.781488]",8,8.0,321.18,0,0,1,1,62.5125,0,0,71,0,0,0,57.695865,39.781488,0,0.005615974685983825
18.07.2023,28,"ул. 1-я Кольцова, 6",681.2,1955,2,4,"[57.695004,39.779377]",8,8.0,324.83,0,0,1,1,85.15,0,0,69,0,0,0,57.695004,39.779377,0,0.0035034987522341867
18.07.2023,29,"ул. 1-я Кольцова, 7",378.6,1955,2,4,"[57.631696,39.863316]",8,9.0,333.52,0,0,1,1,47.325,0,0,69,0,0,0,57.631696,39.863316,4,0.0034038073463939183
18.07.2023,30,"ул. 1-я Кольцова, 8",895.1,1956,2,4,"[57.628072,39.845161]",8,8.0,327.22,0,0,0,0,111.8875,0,0,68,0,0,0,57.628072,39.845161,4,0.015137587895196859
18.07.2023,31,"ул. 1-я Кольцова, 9",785.6,1951,2,4,"[57.633609,39.863199]",8,8.0,330.02,0,0,0,0,98.2,0,0,73,0,0,0,57.633609,39.863199,4,0.004303198184846901
18.07.2023,32,"ул. 1-я Кольцова, 10",674.6,1952,2,4,"[57.631725,39.860001]",8,9.0,335.85,0,0,0,0,84.325,0,0,72,0,0,0,57.631725,39.860001,4,0.001081417411579476
18.07.2023,33,"ул. 1-я Кольцова, 13",809.0,1952,2,4,"[57.6333,39.860621]",8,9.0,333.15,0,0,1,1,101.125,0,0,72,0,0,0,57.6333,39.860621,4,0.002708635317780123
18.07.2023,34,"ул. 1-я Кольцова, 15",681.9,1955,2,4,"[57.697212,39.779826]",8,8.0,321.8,0,0,1,1,85.2375,0,0,69,0,0,0,57.697212,39.779826,0,0.004340028245712446
18.07.2023,35,"ул. 1-я Кольцова, 17",440.1,1958,2,4,"[57.553909,39.93846]",8,9.0,334.33,0,0,1,1,55.0125,0,0,66,0,0,0,57.553909,39.93846,3,0.0
18.07.2023,36,"ул. 1-я Кольцова, 19",444.8,1958,2,4,"[57.643475,39.95312]",8,10.0,385.56,0,0,1,1,55.6,0,0,66,0,0,0,57.643475,39.95312,1,0.004261883781984677
18.07.2023,37,"ул. 1-я Кольцова, 21",299.7,1959,2,4,"[57.633267,39.863235]",8,9.0,333.52,0,0,1,1,37.4625,0,0,65,0,0,0,57.633267,39.863235,4,0.0041029278104860525
18.07.2023,38,"ул. 1-я Кольцова, 26а",528.3,1970,2,4,"[57.631282,39.852922]",8,8.0,327.02,0,0,1,1,66.0375,0,0,54,0,0,0,57.631282,39.852922,4,0.007184260628954668
18.07.2023,39,"ул. 1-я Кольцова, 28а",583.1,1973,2,4,"[57.698116,39.777994]",8,8.0,324.83,0,0,1,1,72.8875,0,0,51,0,0,0,57.698116,39.777994,0,0.0034523948944047353
18.07.2023,40,"ул. 1-я Кольцова, 29",319.1,1960,2,4,"[57.696043,39.773448]",8,8.0,326.03,0,0,1,1,39.8875,0,0,64,0,0,0,57.696043,39.773448,0,0.002534602665826648
18.07.2023,41,"ул. 1-я Кольцова, 30а",531.5,1970,2,4,"[57.695167,39.770053]",8,8.0,321.18,0,0,1,1,66.4375,0,0,54,0,0,0,57.695167,39.770053,0,0.005844080681083206
18.07.2023,42,"ул. 1-я Кольцова, 31",325.0,1959,2,4,"[57.69359,39.776467]",8,8.0,326.85,0,0,1,1,40.625,0,0,65,0,0,0,57.69359,39.776467,0,0.0018761083409401214
18.07.2023,43,"ул. 1-я Кольцова, 32",580.1,1970,2,4,"[57.696038,39.774553]",8,8.0,325.96,0,0,1,1,72.5125,0,0,54,0,0,0,57.696038,39.774553,0,0.0014947931318270355
18.07.2023,44,"ул. 1-я Кольцова, 33",338.8,1959,2,4,"[57.691656,39.776152]",8,8.0,325.5,0,0,1,1,42.35,0,0,65,0,0,0,57.691656,39.776152,0,0.0037292316242021734
18.07.2023,45,"ул. 1-я Кольцова, 34",531.6,1970,2,4,"[57.697457,39.76813]",8,8.0,320.45,0,0,1,1,66.45,0,0,54,0,0,0,57.697457,39.76813,0,0.008037341911788128
18.07.2023,46,"ул. 1-я Кольцова, 36",532.0,1973,2,4,"[57.622409,39.861357]",8,8.0,327.02,0,0,1,1,66.5,0,0,51,0,0,0,57.622409,39.861357,4,0.008336023529520509
18.07.2023,48,"ул. 1-я Кольцова, 39",462.3,1964,2,4,"[57.640667,39.957845]",8,10.0,386.19,0,0,1,1,57.7875,0,0,60,0,0,0,57.640667,39.957845,1,0.0013400613311132807
18.07.2023,50,"ул. 1-я Кольцова, 41",418.4,1964,2,4,"[57.697678,39.777868]",8,8.0,326.0,0,0,1,1,52.3,0,0,60,0,0,0,57.697678,39.777868,0,0.0030327152037291816
18.07.2023,51,"ул. 1-я Кольцова, 43",525.8,1967,2,4,"[57.697529,39.775622]",8,8.0,326.18,0,0,1,1,65.725,0,0,57,0,0,0,57.697529,39.775622,0,0.0021697820951151092
18.07.2023,52,"1-я Норская наб., 45",600.4,1956,2,4,"[57.69763,39.774778]",8,8.0,325.36,0,0,1,1,75.05,0,0,68,0,0,0,57.69763,39.774778,0,0.0025146287016037014
18.07.2023,54,"1-я Норская наб., 46",265.7,,2,4,"[57.645522,39.957235]",8,10.0,384.63,0,0,0,0,33.2125,,0,,,0,1,57.645522,39.957235,1,0.004659592159551112
18.07.2023,55,"1-я Норская наб., 49",664.6,,2,4,"[57.692368,39.775263]",8,8.0,325.14,0,0,0,0,83.075,,0,,,0,1,57.692368,39.775263,0,0.00307357904951458
18.07.2023,56,"ул. 1-я Парковая, 3а",114.6,1957,2,4,"[57.692921,39.773996]",8,8.0,325.81,0,0,0,0,14.325,0,0,67,0,0,0,57.692921,39.773996,0,0.0031029222259541527
18.07.2023,61,"ул. 1-я Портовая, 3",681.3,1958,2,4,"[57.694552,39.771679]",8,8.0,321.8,0,0,1,1,85.1625,0,0,66,0,0,0,57.694552,39.771679,0,0.004294181354691202
18.07.2023,63,"ул. 1-я Портовая, 5",473.7,1963,2,4,"[57.695826,39.775218]",8,8.0,327.67,0,0,1,1,59.2125,0,0,61,0,0,0,57.695826,39.775218,0,0.0008113878071589931
18.07.2023,70,"ул. 1-я Приволжская, 4а",378.5,1936,2,4,"[57.644073,39.954261]",8,10.0,387.91,0,0,1,1,47.3125,0,0,88,0,0,0,57.644073,39.954261,1,0.0038865820794105554
18.07.2023,71,"ул. 1-я Приволжская, 6б",507.1,1936,2,4,"[57.644193,39.955438]",8,10.0,386.57,0,0,1,1,63.3875,0,0,88,0,0,0,57.644193,39.955438,1,0.003453339435970023
18.07.2023,72,"ул. 1-я Приволжская, 8б",497.1,1939,2,4,"[57.643716,39.955492]",8,10.0,388.25,0,0,0,0,62.1375,0,0,85,0,0,0,57.643716,39.955492,1,0.002985343491126004
18.07.2023,73,"ул. 1-я Приволжская, 8а",503.9,1928,2,4,"[57.643307,39.956085]",8,10.0,389.13,0,0,0,0,62.9875,0,0,96,0,0,0,57.643307,39.956085,1,0.0024314531398185813
18.07.2023,74,"ул. 1-я Приволжская, 12б",490.5,1956,2,4,"[57.643331,39.954746]",8,10.0,388.25,0,0,0,0,61.3125,0,0,68,0,0,0,57.643331,39.954746,1,0.0030012433042233004
18.07.2023,75,"ул. 1-я Приволжская, 16",489.3,2018,2,4,"[57.642666,39.9556]",8,9.0,377.88,0,0,1,1,61.1625,1,0,6,0,0,0,57.642666,39.9556,1,0.0019807153825549596
18.07.2023,77,"ул. 1-я Приречная, 9",575.0,1960,2,4,"[57.642314,39.956812]",8,10.0,388.21,0,0,1,1,71.875,0,0,64,0,0,0,57.642314,39.956812,1,0.0014261895167905908
18.07.2023,78,"ул. 1-я Приречная, 13",371.7,1957,2,4,"[57.642025,39.957585]",8,10.0,387.82,0,0,1,1,46.4625,0,0,67,0,0,0,57.642025,39.957585,1,0.0015315834340919076
18.07.2023,83,"ул. 1-я Приречная, 7/66",570.8,1960,2,4,"[57.638966,39.961484]",8,10.0,389.29,0,0,1,1,71.35,0,0,64,0,0,0,57.638966,39.961484,1,0.005325628964839809
18.07.2023,84,"ул. 1-я Приречная, 15/15",378.0,1957,2,4,"[57.639043,39.95975]",8,10.0,391.02,0,0,1,1,47.25,0,0,67,0,0,0,57.639043,39.95975,1,0.0037267156875187978
18.07.2023,85,"ул. 1-я Тарная, 3",636.2,1906,2,4,"[57.638644,39.960495]",8,10.0,390.2,0,0,1,1,79.525,0,0,118,0,0,0,57.638644,39.960495,1,0.004571413018125933
18.07.2023,15,"ул. 1-я Жилая, 8",1533.3,1961,3,4,"[57.63557,39.865166]",12,9.0,325.06,0,0,1,1,127.77499999999999,0,0,63,0,0,0,57.63557,39.865166,2,0.006030467212494872
18.07.2023,17,"ул. 1-я Жилая, 10",1540.2,1961,3,4,"[57.635127,39.869092]",12,9.0,331.19,0,0,1,1,128.35,0,0,63,0,0,0,57.635127,39.869092,2,0.0027835526017536884
18.07.2023,20,"ул. 1-я Жилая, 12",1545.1,1962,3,4,"[57.693652,39.778793]",12,8.0,324.83,0,0,1,1,128.75833333333333,0,0,62,0,0,0,57.693652,39.778793,0,0.003373589311145037
18.07.2023,21,"ул. 1-я Жилая, 13",1181.3,1961,3,4,"[57.696187,39.776206]",12,8.0,328.42,0,1,1,1,98.44166666666666,0,0,63,0,0,0,57.696187,39.776206,0,0.0008689510958293664
18.07.2023,22,"ул. 1-я Жилая, 14",1532.4,1961,3,4,"[57.69663,39.776287]",12,8.0,327.02,0,1,1,1,127.7,0,0,63,0,0,0,57.69663,39.776287,0,0.0013141014066411834
18.07.2023,24,"ул. 1-я Жилая, 16",1585.5,1959,3,4,"[57.697043,39.778137]",12,8.0,326.42,0,1,1,1,132.125,0,0,65,0,0,0,57.697043,39.778137,0,0.0027950126428332627
18.07.2023,25,"ул. 1-я Жилая, 18",1520.0,1959,3,4,"[57.696341,39.778218]",12,8.0,325.36,0,0,1,1,126.66666666666667,0,0,65,0,0,0,57.696341,39.778218,0,0.0025169063696529265
18.07.2023,58,"ул. 1-я Полянская, 9",704.5,2017,3,4,"[57.694811,39.776062]",12,8.0,327.79,0,1,1,1,58.708333333333336,1,0,7,0,0,0,57.694811,39.776062,0,0.0005898779593660194
18.07.2023,65,"ул. 1-я Портовая, 15",1108.8,1958,3,4,"[57.695754,39.772334]",12,8.0,325.89,0,1,1,1,92.39999999999999,0,0,66,0,0,0,57.695754,39.772334,0,0.00357932239960166
18.07.2023,98,"ул. 1-я Шоссейная, 24",1891.2,1963,3,4,"[57.692329,39.77767]",12,8.0,325.89,0,1,1,1,157.6,0,0,61,0,0,0,57.692329,39.77767,0,0.0035273611959858466
18.07.2023,100,"ул. 1-я Шоссейная, 26",1016.9,1960,3,4,"[57.698929,39.775407]",12,8.0,324.83,0,0,1,1,84.74166666666666,0,0,64,0,0,0,57.698929,39.775407,0,0.0035858824121257336
18.07.2023,16,"ул. 1-я Жилая, 9",2012.0,1962,4,4,"[57.634124,39.861654]",16,9.0,330.67,0,0,1,1,125.75,0,0,62,0,0,0,57.634124,39.861654,4,0.003818072653150693
18.07.2023,62,"ул. 1-я Портовая, 4",2016.0,1963,4,4,"[57.695533,39.773538]",16,8.0,324.0,0,0,1,1,126.0,0,0,61,0,0,0,57.695533,39.773538,0,0.0023605435123319318
18.07.2023,86,"ул. 1-я Тверицкая, 2",894.6,,4,4,"[57.638802,39.9586]",16,10.0,393.49,0,0,1,1,55.9125,,0,,,0,1,57.638802,39.9586,1,0.002960082897494453
18.07.2023,23,"ул. 1-я Жилая, 15",1965.9,2004,5,4,"[57.697327,39.776556]",20,7.0,320.0,1,0,0,0,98.295,1,0,20,1,0,0,57.697327,39.776556,0,0.0020602312184806867
18.07.2023,49,"ул. 1-я Кольцова, 40",5073.0,1981,5,4,"[57.621373,39.862992]",20,7.0,300.0,1,0,0,0,253.65,0,0,43,0,0,0,57.621373,39.862992,4,0.0097203714667374
18.07.2023,53,"1-я Норская наб., 46а",1018.2,2018,5,4,"[57.697981,39.773843]",20,7.0,340.0,1,0,0,0,50.910000000000004,1,0,6,1,0,0,57.697981,39.773843,0,0.0033149041223346333
18.07.2023,64,"ул. 1-я Портовая, 7а",3428.6,1973,5,4,"[57.696803,39.77502]",20,8.0,316.56,0,1,1,1,171.43,0,0,51,0,0,0,57.696803,39.77502,0,0.0016728199764530188
18.07.2023,66,"ул. 1-я Портовая, 17",2919.4,1974,5,4,"[57.641934,39.948368]",20,10.0,375.59,0,1,1,1,145.97,0,0,50,0,0,0,57.641934,39.948368,1,0.008223548023407605
18.07.2023,67,"ул. 1-я Портовая, 19 корпус 2",2795.3,1984,5,4,"[57.642868,39.950937]",20,10.0,375.59,0,1,1,1,139.76500000000001,0,0,40,0,0,0,57.642868,39.950937,1,0.0059221718692431735
18.07.2023,68,"ул. 1-я Портовая, 19",2388.5,1976,5,4,"[57.642502,39.952114]",20,10.0,380.91,0,0,1,1,119.425,0,0,48,0,0,0,57.642502,39.952114,1,0.004690497377558554
18.07.2023,69,"ул. 1-я Портовая, 21",8967.0,,5,4,"[57.641837,39.952141]",20,10.0,364.5,0,0,1,1,448.35,,0,,,,1,57.641837,39.952141,1,0.004482897727788875
18.07.2023,76,"ул. 1-я Приречная, 3",2296.4,2018,5,4,"[57.642989,39.956974]",20,9.0,377.65,0,0,1,1,114.82000000000001,1,0,6,0,0,0,57.642989,39.956974,1,0.0021200662814657946
18.07.2023,80,"ул. 1-я Приречная, 19",2868.0,1993,5,4,"[57.641467,39.958825]",20,10.0,382.3,0,1,1,1,143.4,0,0,31,0,0,0,57.641467,39.958825,1,0.0023617667431215087
18.07.2023,82,"ул. 1-я Приречная, 21",4774.9,2007,5,4,"[57.639718,39.961007]",20,10.0,364.94,0,1,1,1,238.74499999999998,1,0,17,0,1,0,57.639718,39.961007,1,0.004636204408308887
18.07.2023,87,"ул. 1-я Тормозная, 46",4070.7,1973,5,4,"[57.638446,39.959534]",20,11.0,372.95,0,1,1,1,203.535,0,0,51,0,0,0,57.638446,39.959534,1,0.0038905580125370544
18.07.2023,79,"ул. 1-я Приречная, 18",5297.6,2014,6,4,"[57.641481,39.957567]",24,8.0,377.0,1,0,1,1,220.73333333333335,1,1,10,0,1,0,57.641481,39.957567,1,0.0011822471230784682
18.07.2023,81,"ул. 1-я Приречная, 20",5297.6,2014,6,4,"[57.640518,39.959408]",24,8.0,300.0,1,0,1,1,220.73333333333335,1,1,10,0,1,0,57.640518,39.959408,1,0.0029070822875746014
18.07.2023,47,"ул. 1-я Кольцова, 37",1978.8,2015,7,4,"[57.69561,39.771319]",28,9.0,290.0,1,0,1,1,70.67142857142856,1,1,9,0,0,0,57.69561,39.771319,0,0.004580301792129421
18.07.2023,59,"ул. 1-я Портовая, 1",6189.8,1991,9,4,"[57.69484,39.774993]",36,10.0,290.0,1,0,1,1,171.9388888888889,0,1,33,0,0,0,57.69484,39.774993,0,0.0010479332868153803
18.07.2023,60,"ул. 1-я Портовая, 1 корпус 2",1953.6,1991,9,4,"[57.695302,39.774526]",36,7.0,350.0,1,1,1,1,54.266666666666666,0,1,33,0,0,0,57.695302,39.774526,0,0.0013693478400128927
18.07.2023,89,"ул. 1-я Тормозная, 54 корпус 2",6692.2,1998,9,4,"[57.638321,39.951027]",36,10.0,341.0,1,0,1,1,185.89444444444445,0,1,26,0,0,0,57.638321,39.951027,1,0.006082785494417747
18.07.2023,91,"ул. 1-я Тормозная, 55",5910.8,1991,9,4,"[57.639053,39.953057]",36,11.0,430.0,1,0,1,1,164.1888888888889,0,1,33,0,0,0,57.639053,39.953057,1,0.003939804906904393
18.07.2023,93,"ул. 1-я Тормозная, 57",5880.5,1990,9,4,"[57.638036,39.956633]",36,17.0,450.0,1,0,0,0,163.34722222222223,0,1,34,0,0,0,57.638036,39.956633,1,0.00288220665540897
18.07.2023,96,"ул. 1-я Тормозная, 59",5919.2,1989,9,4,"[57.6378,39.959705]",36,12.0,390.0,1,1,0,1,164.42222222222222,0,1,35,0,0,0,57.6378,39.959705,1,0.004450008025467391
18.07.2023,88,"ул. 1-я Тормозная, 53",9118.3,2007,10,4,"[57.638407,39.961681]",40,13.0,430.0,1,1,0,1,227.95749999999998,1,1,17,0,1,0,57.638407,39.961681,1,0.005731194303888979
18.07.2023,90,"ул. 1-я Тормозная, 54",5417.5,2008,10,4,"[57.638687,39.952051]",40,12.0,400.0,1,1,1,1,135.4375,1,1,16,0,1,0,57.638687,39.952051,1,0.005001631437624174
18.07.2023,92,"ул. 1-я Тормозная, 56",4784.8,2005,10,4,"[57.638056,39.955492]",40,11.0,420.0,1,1,1,1,119.62,1,1,19,0,0,0,57.638056,39.955492,1,0.003042258149619991
18.07.2023,95,"ул. 1-я Тормозная, 58 корпус 2",7176.9,1995,10,4,"[57.637738,39.958663]",40,19.0,480.0,1,0,1,1,179.42249999999999,0,1,29,0,0,0,57.637738,39.958663,1,0.0038286326517808886
